Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
,DEMPSEY S,2.26,5.56%,36.11%,41.67%,13.89%,2.78%,1
,FANN H,2.97,24.4%,55.95%,14.88%,3.57%,1.19%,1
,GAMEZ R,2.65,16.215%,52.55%,16.47%,10.035%,4.725%,2
,HILTY C,3.05,31.82%,45.45%,18.18%,4.55%,0.0%,1
,KEENEY-KENNICUTT W,2.91,25.0233333333%,52.51%,15.21%,3.33%,3.92333333333%,3
,LAANE J,2.65,11.11%,53.7%,27.78%,1.85%,5.56%,1
,LEUNG T,2.72,16.45%,49.66%,27.3033333333%,3.25%,3.34%,3
,MACFARLANE R,2.46,11.51%,40.29%,36.69%,6.47%,5.04%,1
,MCCARTNEY S,2.73,17.33%,49.96%,24.2075%,5.815%,2.685%,4
,MULLEN C,2.63,11.76%,54.12%,22.35%,9.41%,2.35%,1
,NARINDOSHVILI T,2.78,14.46%,54.22%,26.51%,4.82%,0.0%,1
,NORTH S,3.17,32.58%,50.905%,16.515%,0.0%,0.0%,2
,POTTS J,2.82,17.4833333333%,51.7966666667%,26.4766666667%,3.79%,0.456666666667%,3
,PROSVIRIN A,2.75,20.03%,48.445%,20.46%,8.925%,2.145%,2
,RAYMOND J,2.54,14.29%,44.9%,28.57%,6.12%,6.12%,1
,ROSYNEK M,3.41,63.22%,21.91%,10.05%,2.40666666667%,2.40666666667%,3
,SAMOUEI H,2.58,12.68%,45.07%,32.39%,5.63%,4.23%,1
,SKILES S,2.2,2.63%,50.0%,26.32%,7.89%,13.16%,1
,STOLLENZ M,2.74,17.958%,53.042%,19.02%,4.514%,5.464%,5
,TRUFAN E,2.62,17.24%,48.28%,22.41%,3.45%,8.62%,1
,UTLEY D,2.85,20.59%,55.33%,16.3033333333%,5.29%,2.47666666667%,3
,WILLIAMSON V,2.69,18.08%,49.2816666667%,20.8733333333%,6.765%,5.00333333333%,6
,YEAGER D,2.82,19.2833333333%,56.02%,15.28%,6.02%,3.40333333333%,3
,,,,,,,
CHEM-112,,,,,,,
,BANERJEE S,3.47,61.555%,26.515%,11.93%,0.0%,0.0%,2
,BETHEL R,2.82,17.8975%,53.2075%,23.92%,3.4725%,1.5025%,4
,BEVAN J,2.77,16.82%,55.065%,19.1325%,6.665%,2.32%,4
,BROWN L,2.78,20.3957142857%,48.0128571429%,23.2928571429%,5.40714285714%,2.89%,7
,CHAKRABARTI M,2.85,16.24%,59.4%,19.23%,3.42%,1.71%,1
,COLLINS D,2.83,18.72%,50.73%,25.815%,4.01%,0.72%,2
,DEMPSEY S,2.88,19.99%,50.055%,27.715%,2.01%,0.225%,2
,KEENEY-KENNICUTT W,2.88,17.04%,58.755%,19.91%,3.505%,0.795%,2
,LAANE J,2.95,17.05%,62.79%,18.6%,0.78%,0.78%,1
,LEUNG T,2.95,25.64%,51.28%,17.95%,2.56%,2.56%,1
,LINDAHL P,2.72,22.22%,33.33%,38.89%,5.56%,0.0%,1
,MACFARLANE R,2.91,21.54%,52.92%,20.92%,3.69%,0.92%,1
,MAWK E,2.85,23.415%,45.835%,24.37%,4.26%,2.125%,2
,MCCARTNEY S,2.79,18.36%,52.9625%,20.735%,4.325%,3.6175%,4
